title,year
A Quiet Place,2018
Harry Potter- A History of Magic,2017
Travel Man- 48 Hours in...            ,
The King of Kong- A Fistful of Quarters,2007
Double Date,2017
Ghostland,2018
The Nun,2018
Hereditary,2018
First Man,2018
Sgt. Stubby- An American Hero,2018
The 15-17 to Paris,2018
The Second Woman,1950
Secret Beyond the Door...,1947
The Lost Weekend,1945
The Big Heat,1953
The Postman Always Rings Twice,1946
The City and the City            ,
Shazam!,2019
Cobra Kai            ,
The Princess Bride,1987
"Ram Dass, Going Home",2017
All or Nothing- The Michigan Wolverines            ,
The Problem with Apu,2017
DC's Legends of Tomorrow- Their Time Is Now,2016
Wormwood            ,
Bobby Kennedy for President            ,
Midnight Sun,2018
Disobedience,2017
Howards End            ,
Orbiter 9,2017
Ordeal by Innocence            ,
Tale of Tales,2015
Unsane,2018
It- Chapter Two,2019
Day of the Dead- Bloodline,2018
The Strangers- Prey at Night,2018
Venom,2018
Halloween,2018
Ghost Stories,2017
Truth or Dare,2018
Jamestown            ,
Les Misrables,2012
"Paul, Apostle of Christ",2018
The Guernsey Literary and Potato Peel Pie Society,2018
Chappaquiddick,2017
The Wrong Man,1956
The Lady from Shanghai,1947
The Killers,1946
The Asphalt Jungle,1950
Voice in the Wind,1944
The Strange Love of Martha Ivers,1946
The Petrified Forest,1936
Two O'Clock Courage,1945
The Lineup,1958
The Big Sleep,1946
Crossroads,1942
The Two Mrs. Carrolls,1947
The Third Man,1949
On Dangerous Ground,1951
Fantastic Beasts- The Crimes of Grindelwald,2018
Lost in Space            ,
Mary Poppins Returns,2018
I Can Only Imagine,2018
The China Hustle,2017
Big Time,2017
Hot Girls Wanted,2015
Three Identical Strangers,2018
Dirty Money            ,
Trump- An American Dream            ,
"Inside Look- The People v. O.J. Simpson, American Crime Story            ",
Won't You Be My Neighbor?,2018
Pandas,2018
Rapture            ,
One Strange Rock            ,
Faces Places,2017
The Defiant Ones            ,
Do You Trust this Computer?,2018
"Inside Look- The Assassination of Gianni Versace, American Crime Story            ",
Whitney,2018
Mercury 13,2018
Generation Wealth,2018
I Feel Pretty,2018
Overboard,2018
The Sandlot,1993
Spider-Man- Into the Spider-Verse,2018
Jurassic World- Fallen Kingdom,2018
Sunset Boulevard,1950
Game Night,2018
"Love, Simon",2018
Blockers,2018
No Small Parts            ,
Mary Shelley,2017
Nothing to Lose,2018
Mary Queen of Scots,2018
Fighting with My Family,2018
Bohemian Rhapsody,2018
Borg vs McEnroe,2017
The Irishman,2019
Spirited Away,2001
Suicide Squad- Hell to Pay,2018
Paddington 2,2017
Sherlock Gnomes,2018
Peter Rabbit,2018
The Predator,2018
A Wrinkle in Time,2018
Death Wish,2018
Upgrade,2018
Titans            ,
Captain Marvel,2019
Deep State            ,
X-Men- Dark Phoenix,2019
The First Purge,2018
Deadpool 2,2018
Incredibles 2,2018
Ocean's 8,2018
The Hurricane Heist,2018
Timeless            ,
Isle of Dogs,2018
Pacific Rim- Uprising,2018
Tomb Raider,2018
Solo- A Star Wars Story,2018
The Meg,2018
Rampage,2018
Ready Player One,2018
Avengers- Infinity War,2018
Life Is Beautiful,1997
"Sal, or the 120 Days of Sodom",1975
Pan's Labyrinth,2006
Sweet Country,2017
The Wild Wild West            ,
Once Upon a Time in the West,1968
The Cowboys,1972
The Mark of Zorro,1940
Woman Walks Ahead,2017
Yellowstone            ,
The Rifleman            ,
Gone Are the Days,2018
"Dr. Quinn, Medicine Woman            ",
"The Good, the Bad and the Ugly",1966
The Man with the Iron Heart,2017
The Pianist,2002
Six            ,
Subedar Joginder Singh,2018
Code Name- K.O.Z.,2015
A Quiet Place,2018
Star Wars- Episode IV - A New Hope,1977
City of God,2002
Seven Samurai,1954
"The Good, the Bad and the Ugly",1966
Danes Without a Clue,1997
The Legend of Drona,2008
The Aztec Mummy Against the Humanoid Robot,1958
Body in the Web,1960
Laserblast,1978
Devil Fish,1984
I Accuse My Parents,1944
Ed,1996
Survival Island,2002
Mitchell,1975
Time Chasers,1994
10x10,2018
Super Troopers 2,2018
Come and See,1985
The Nights of Cabiria,1957
The Best Years of Our Lives,1946
In the Mood for Love,2000
Three Colors- Red,1994
The Battle of Algiers,1966
Infernal Affairs,2002
The Wizard of Oz,1939
La Haine,1995
The Grapes of Wrath,1940
The Princess Bride,1987
Nausica of the Valley of the Wind,1984
Hachi- A Dog's Tale,2009
Amores Perros,2000
The 400 Blows,1959
Memories of Murder,2003
The Wages of Fear,1953
The Passion of Joan of Arc,1928
Wild Tales,2014
Andrei Rublev,1966
The Bandit,1996
The General,1926
Sherlock Jr.,1924
Wild Strawberries,1957
The Elephant Man,1980
The Seventh Seal,1957
The Bridge on the River Kwai,1957
Howl's Moving Castle,2004
The Secret in Their Eyes,2009
My Neighbor Totoro,1988
Pan's Labyrinth,2006
Children of Heaven,1997
The Third Man,1949
Downfall,2004
My Father and My Son,2005
Zombie Nightmare,1987
"Car 54, Where Are You?",1994
Theodore Rex,1995
Santa Claus Conquers the Martians,1964
After Last Season,2009
Boggy Creek II- And the Legend Continues,1984
Santa with Muscles,1996
Dragonball- Evolution,2009
Fat Slags,2004
Simon Sez,1999
A Story About Love,1995
Prince of Space,1959
Catalina Caper,1967
Breaking Wind,2012
The Blade Master,1984
Soultaker,1990
The Touch of Satan,1971
Nothing to Lose,2018
Zaat,1971
Dark Harvest II- The Maize,2004
Chairman of the Board,1998
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964
Sherlock Gnomes,2018
Aquaman,2018
6 Balloons,2018
The Irishman,2019
Acrimony,2018
Venom,2018
Peter Rabbit,2018
Halloween,2018
Jurassic World- Fallen Kingdom,2018
The Miracle Season,2018
Untitled Avengers Movie,2019
Rashomon,1950
A Separation,2011
For a Few Dollars More,1965
The Hunt,2012
Bicycle Thieves,1948
Girl in Gold Boots,1968
The Skydivers,1963
Track of the Moon Beast,1976
Invasion of the Neptune Men,1961
The Pumaman,1980
Anne B. Real,2003
Too Beautiful,2005
United Passions,2014
Eegah,1962
Kyaa Kool Hain Hum 3,2016
Die Hard Dracula,1998
Final Justice,1985
The Class,2007
Leonard Part 6,1987
Smolensk,2016
Five the Hard Way,1969
The Starfighters,1964
Dracula 3000,2004
Extra Terrestrial Visitors,1983
Night Train to Mundo Fine,1966
Space Mutiny,1988
Hobgoblins,1988
Glitter,2001
The Beast of Yucca Flats,1961
I Feel Pretty,2018
Overboard,2018
Beirut,2018
The Sandlot,1993
The Predator,2018
Death Wish,2018
Orbiter 9,2017
A Wrinkle in Time,2018
Game Night,2018
Upgrade,2018
Captain Marvel,2019
X-Men- Dark Phoenix,2019
The First Purge,2018
Chappaquiddick,2017
I Can Only Imagine,2018
Amlie,2001
Like Stars on Earth,2007
Your Name,2016
Das Boot,1981
Princess Mononoke,1997
WALLE,2008
Enes Batur Hayal mi Gerek mi?,2018
Ben & Arthur,2002
Birdemic 2- The Resurrection,2013
The Legend of the Titanic,1999
Going Overboard,1989
Yes Sir,2007
The Hottie & the Nottie,2008
Ram Gopal Varma's Indian Flames,2007
A Fox's Tale,2008
Potato Salad,2015
Keloglan vs. the Black Prince,2006
Zombie Nation,2004
Attack of the Jurassic Shark,2012
Birdemic- Shock and Terror,2010
Titanic- The Legend Goes On...,2000
Dream.net,2009
Turks in Space,2006
Foodfight!,2012
Manos- The Hands of Fate,1966
Daniel the Wizard,2004
Superbabies- Baby Geniuses 2,2004
Saving Christmas,2014
Deadpool 2,2018
Incredibles 2,2018
Hot Summer Nights,2017
Ghost Stories,2017
Ocean's 8,2018
The Hurricane Heist,2018
"Love, Simon",2018
Pacific Rim- Uprising,2018
Tomb Raider,2018
Isle of Dogs,2018
Blockers,2018
Truth or Dare,2018
Solo- A Star Wars Story,2018
The Meg,2018
Rampage,2018
Ready Player One,2018
Avengers- Infinity War,2018
The Lives of Others,2006
Grave of the Fireflies,1988
Sunset Boulevard,1950
The Great Dictator,1940
The Pianist,2002
The Intouchables,2011
Once Upon a Time in the West,1968
Lon- The Professional,1994
Spirited Away,2001
Life Is Beautiful,1997
